FLOW_START_MILLISECONDS,FLOW_END_MILLISECONDS,IPV4_SRC_ADDR,L4_SRC_PORT,IPV4_DST_ADDR,L4_DST_PORT,PROTOCOL,L7_PROTO,IN_BYTES,IN_PKTS,OUT_BYTES,OUT_PKTS,TCP_FLAGS,CLIENT_TCP_FLAGS,SERVER_TCP_FLAGS,FLOW_DURATION_MILLISECONDS,DURATION_IN,DURATION_OUT,MIN_TTL,MAX_TTL,LONGEST_FLOW_PKT,SHORTEST_FLOW_PKT,MIN_IP_PKT_LEN,MAX_IP_PKT_LEN,SRC_TO_DST_SECOND_BYTES,DST_TO_SRC_SECOND_BYTES,RETRANSMITTED_IN_BYTES,RETRANSMITTED_IN_PKTS,RETRANSMITTED_OUT_BYTES,RETRANSMITTED_OUT_PKTS,SRC_TO_DST_AVG_THROUGHPUT,DST_TO_SRC_AVG_THROUGHPUT,NUM_PKTS_UP_TO_128_BYTES,NUM_PKTS_128_TO_256_BYTES,NUM_PKTS_256_TO_512_BYTES,NUM_PKTS_512_TO_1024_BYTES,NUM_PKTS_1024_TO_1514_BYTES,TCP_WIN_MAX_IN,TCP_WIN_MAX_OUT,ICMP_TYPE,ICMP_IPV4_TYPE,DNS_QUERY_ID,DNS_QUERY_TYPE,DNS_TTL_ANSWER,FTP_COMMAND_RET_CODE,SRC_TO_DST_IAT_MIN,SRC_TO_DST_IAT_MAX,SRC_TO_DST_IAT_AVG,SRC_TO_DST_IAT_STDDEV,DST_TO_SRC_IAT_MIN,DST_TO_SRC_IAT_MAX,DST_TO_SRC_IAT_AVG,DST_TO_SRC_IAT_STDDEV,Label,Attack
1528104199586,1528104319994,192.168.100.7,365,192.168.100.3,565,17,0.0,238142,5177,0,0,0,0,0,120408,120408,0,127,127,46,46,0,46,0.0,1.9777921732775232,0,0,0,0,15822,0,5177,0,0,0,0,0,0,0,0,0,0,0,0,1,30,22,4,0,0,0,0,0,Benign
1528104199598,1528104319994,192.168.100.46,3456,192.168.100.5,80,17,0.0,9015892,9630,9450299,9630,0,0,0,120396,120396,120396,127,127,1500,422,422,1500,78.49346323798133,74.88531180437889,0,0,0,0,599077,627942,0,0,1807,8906,8547,0,0,0,0,0,0,0,0,1,28,12,1,1,30,12,2,0,Benign
1528104199598,1528104319994,192.168.100.55,8080,192.168.100.3,80,6,7.0,9551084,9630,8947515,9630,0,0,0,120396,120396,120396,127,127,1496,422,422,1496,74.31737765374265,79.33057576663677,0,0,0,0,634639,594534,0,0,481,9872,8907,1024,1024,0,0,0,0,0,0,1,30,12,1,5,25,12,1,0,Benign
1528104199598,1528104319994,192.168.100.46,80,192.168.100.5,80,17,0.0,9106323,9630,0,0,0,0,0,120396,120396,0,127,127,1483,444,0,1483,0.0,75.63642479816605,0,0,0,0,605086,0,0,0,842,5174,3614,0,0,0,0,0,0,0,0,1,28,12,2,0,0,0,0,0,Benign
1528104199598,1528104319969,192.168.100.6,80,192.168.100.3,80,6,7.0,916500,3250,0,0,0,0,0,120371,120371,0,127,127,282,282,0,282,0.0,7.613960173131403,916218,3249,0,0,60911,0,0,0,3250,0,0,1024,0,64013,250,0,0,0,0,12,54,36,4,0,0,0,0,0,Benign
1528104199598,1528104319994,192.168.100.46,80,192.168.100.5,80,6,7.0,8878969,9630,0,0,0,0,0,120396,120396,0,127,127,1498,427,0,1498,0.0,73.74803980198678,0,0,0,0,589979,0,0,0,1567,4573,3490,1024,0,0,0,0,0,0,0,1,30,12,2,0,0,0,0,0,Benign
1528104199598,1528104319986,192.168.100.5,0,192.168.100.3,0,6,0.0,4025078,5778,0,0,0,0,0,120387,120387,0,127,127,1472,99,0,1472,0.0,33.43449043501375,0,0,0,0,267473,0,240,603,1082,2531,1322,1024,0,0,0,0,0,0,0,6,30,20,5,0,0,0,0,0,Benign
1528104202650,1528104322690,192.168.100.3,41307,52.64.239.193,8883,6,91.0,37963,47,2444,47,24,24,16,120040,120034,120034,64,64,1268,52,52,1268,0.0203598800399866,0.3162529156947684,0,0,0,0,2530,162,47,0,20,6,21,282,422,0,0,0,0,0,0,5,5003,2608,1719,5,5003,2608,1719,0,Benign
1528103029332,1528103047123,192.168.100.148,57216,192.168.100.3,80,6,7.0,707,6,710,4,31,30,27,17790,17790,8742,64,64,546,52,52,546,0.0399100618324901,0.0397414277684092,0,0,0,0,317,319,8,0,1,1,0,29200,28960,0,0,0,0,0,0,3738,9004,3557,3383,3738,5003,2913,2124,1,DDoS
1528103029332,1528103047123,192.168.100.148,57218,192.168.100.3,80,6,7.0,726,6,710,4,31,30,27,17790,17790,8742,64,64,546,52,52,546,0.0399100618324901,0.0408094435075885,0,0,0,0,326,319,8,0,1,1,0,29200,28960,0,0,0,0,0,0,3738,9004,3557,3383,3738,5003,2913,2124,1,DDoS
