FLOW_START_MILLISECONDS,FLOW_END_MILLISECONDS,IPV4_SRC_ADDR,L4_SRC_PORT,IPV4_DST_ADDR,L4_DST_PORT,PROTOCOL,L7_PROTO,IN_BYTES,IN_PKTS,OUT_BYTES,OUT_PKTS,TCP_FLAGS,CLIENT_TCP_FLAGS,SERVER_TCP_FLAGS,FLOW_DURATION_MILLISECONDS,DURATION_IN,DURATION_OUT,MIN_TTL,MAX_TTL,LONGEST_FLOW_PKT,SHORTEST_FLOW_PKT,MIN_IP_PKT_LEN,MAX_IP_PKT_LEN,SRC_TO_DST_SECOND_BYTES,DST_TO_SRC_SECOND_BYTES,RETRANSMITTED_IN_BYTES,RETRANSMITTED_IN_PKTS,RETRANSMITTED_OUT_BYTES,RETRANSMITTED_OUT_PKTS,SRC_TO_DST_AVG_THROUGHPUT,DST_TO_SRC_AVG_THROUGHPUT,NUM_PKTS_UP_TO_128_BYTES,NUM_PKTS_128_TO_256_BYTES,NUM_PKTS_256_TO_512_BYTES,NUM_PKTS_512_TO_1024_BYTES,NUM_PKTS_1024_TO_1514_BYTES,TCP_WIN_MAX_IN,TCP_WIN_MAX_OUT,ICMP_TYPE,ICMP_IPV4_TYPE,DNS_QUERY_ID,DNS_QUERY_TYPE,DNS_TTL_ANSWER,FTP_COMMAND_RET_CODE,SRC_TO_DST_IAT_MIN,SRC_TO_DST_IAT_MAX,SRC_TO_DST_IAT_AVG,SRC_TO_DST_IAT_STDDEV,DST_TO_SRC_IAT_MIN,DST_TO_SRC_IAT_MAX,DST_TO_SRC_IAT_AVG,DST_TO_SRC_IAT_STDDEV,Label,Attack
1518611287705,1518611287705,172.31.0.2,53,172.31.66.58,63593,17,5,156,1,0,0,0,0,0,1,0,0,0,0,156,156,0,156,0,1,0,0,0,0,1248000,0,0,1,0,0,0,0,0,0,0,45856,1,60,0,0,0,0,0,0,0,0,0,0,Benign
1518611287743,1518611290747,172.31.66.58,56163,239.255.255.250,1900,17,12,805,5,0,0,0,0,0,3003,3003,0,1,1,161,161,0,161,0,0,0,0,0,0,2143,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,2793,750,1182,0,0,0,0,0,Benign
1518611288143,1518611300202,172.31.66.46,62388,239.255.255.250,1900,17,12,1288,8,0,0,0,0,0,12058,12058,0,1,1,161,161,0,161,0,0,0,0,0,0,854,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,3016,1722,1436,0,0,0,0,0,Benign
1518611288165,1518611336194,0.0.0.0,546,0.0.0.0,547,17,103,393,3,0,0,0,0,0,48029,48029,0,1,1,131,131,0,131,0,0,0,0,0,0,65,0,0,3,0,0,0,0,0,0,0,0,0,0,0,16014,32014,24014,8000,0,0,0,0,0,Benign
1518611288175,1518611288176,172.31.66.46,49187,169.254.169.254,80,6,7,373,5,700,5,27,27,27,1,0,0,128,128,528,40,40,528,700,373,0,0,0,0,1492000,2800000,8,1,0,1,0,8192,17922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Benign
1518611288214,1518611289754,107.217.94.48,62907,172.31.66.46,3389,6,91,1000,5,421,4,28,28,24,1539,1539,1197,106,106,621,40,40,621,0,0,0,0,0,0,5194,2187,6,2,0,1,0,252,63618,0,0,0,0,0,0,54,1252,384,501,128,937,398,380,0,Benign
1518611288295,1518611288496,172.31.66.46,60810,172.31.0.2,53,17,5,63,1,156,1,0,0,0,201,0,0,0,0,156,63,63,156,0,0,0,0,0,0,2495,6178,1,1,0,0,0,0,0,0,0,59209,1,60,0,0,0,0,0,0,0,0,0,0,Benign
1518611288383,1518611360054,172.31.66.58,138,172.31.66.127,138,17,10,2155,10,0,0,0,0,0,71670,71670,0,128,128,232,202,0,232,0,0,0,0,0,0,240,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,46728,7962,14318,0,0,0,0,0,Benign
1518611288390,1518611361578,172.31.66.46,138,172.31.66.127,138,17,10,2357,11,0,0,0,0,0,73188,73188,0,128,128,232,202,0,232,0,0,0,0,0,0,257,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,59450,7318,17484,0,0,0,0,0,Benign
1518611288406,1518611288470,172.31.66.58,49630,172.31.0.2,53,17,5,73,1,140,1,0,0,0,63,0,0,0,0,140,73,73,140,2,1,0,0,0,0,9125,17500,1,1,0,0,0,0,0,0,0,35422,1,60,0,0,0,0,0,0,0,0,0,0,Benign
1518611288476,1518611297548,172.31.66.58,49185,65.55.252.93,443,6,91,152,3,0,0,2,2,0,9072,9072,0,128,128,52,48,0,52,0,0,100,2,0,0,134,0,3,0,0,0,0,8192,0,25600,100,0,0,0,0,3016,6055,4535,1519,0,0,0,0,0,Benign
