FLOW_START_MILLISECONDS,FLOW_END_MILLISECONDS,IPV4_SRC_ADDR,L4_SRC_PORT,IPV4_DST_ADDR,L4_DST_PORT,PROTOCOL,L7_PROTO,IN_BYTES,IN_PKTS,OUT_BYTES,OUT_PKTS,TCP_FLAGS,CLIENT_TCP_FLAGS,SERVER_TCP_FLAGS,FLOW_DURATION_MILLISECONDS,DURATION_IN,DURATION_OUT,MIN_TTL,MAX_TTL,LONGEST_FLOW_PKT,SHORTEST_FLOW_PKT,MIN_IP_PKT_LEN,MAX_IP_PKT_LEN,SRC_TO_DST_SECOND_BYTES,DST_TO_SRC_SECOND_BYTES,RETRANSMITTED_IN_BYTES,RETRANSMITTED_IN_PKTS,RETRANSMITTED_OUT_BYTES,RETRANSMITTED_OUT_PKTS,SRC_TO_DST_AVG_THROUGHPUT,DST_TO_SRC_AVG_THROUGHPUT,NUM_PKTS_UP_TO_128_BYTES,NUM_PKTS_128_TO_256_BYTES,NUM_PKTS_256_TO_512_BYTES,NUM_PKTS_512_TO_1024_BYTES,NUM_PKTS_1024_TO_1514_BYTES,TCP_WIN_MAX_IN,TCP_WIN_MAX_OUT,ICMP_TYPE,ICMP_IPV4_TYPE,DNS_QUERY_ID,DNS_QUERY_TYPE,DNS_TTL_ANSWER,FTP_COMMAND_RET_CODE,SRC_TO_DST_IAT_MIN,SRC_TO_DST_IAT_MAX,SRC_TO_DST_IAT_AVG,SRC_TO_DST_IAT_STDDEV,DST_TO_SRC_IAT_MIN,DST_TO_SRC_IAT_MAX,DST_TO_SRC_IAT_AVG,DST_TO_SRC_IAT_STDDEV,Label,Attack
1556028590618,1556028590618,192.168.1.32,41315,192.168.1.169,10010,6,0,44,1,40,1,22,2,20,1,0,0,0,0,44,40,40,44,0,0,0,0,0,0,352000,320000,2,0,0,0,0,1024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Benign
1556028590618,1556028590621,192.168.1.32,41315,192.168.1.194,49400,6,0,44,1,40,1,22,2,20,2,0,0,0,0,44,40,40,44,20,22,0,0,0,0,117333,106666,2,0,0,0,0,1024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Benign
1556028590618,1556028590621,192.168.1.32,41315,192.168.1.193,8008,6,161,44,1,40,1,22,2,20,2,0,0,0,0,44,40,40,44,20,22,0,0,0,0,117333,106666,2,0,0,0,0,1024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,scanning
1556028590624,1556028590628,192.168.1.32,41315,192.168.1.194,85,6,0,44,1,40,1,22,2,20,3,0,0,0,0,44,40,40,44,13,14,0,0,0,0,88000,80000,2,0,0,0,0,1024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Benign
1556028590624,1556028590624,192.168.1.32,41317,192.168.1.180,1056,6,0,44,1,0,0,2,2,0,1,0,0,0,0,44,44,0,44,0,0,0,0,0,0,352000,0,1,0,0,0,0,1024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Benign
1556028590624,1556028590624,192.168.1.32,41316,192.168.1.180,8652,6,0,44,1,0,0,2,2,0,1,0,0,0,0,44,44,0,44,0,0,0,0,0,0,352000,0,1,0,0,0,0,1024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Benign
1556028590624,1556028590624,192.168.1.32,41316,192.168.1.186,1216,6,0,44,1,0,0,2,2,0,1,0,0,0,0,44,44,0,44,0,0,0,0,0,0,352000,0,1,0,0,0,0,1024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Benign
1556028590624,1556028590629,192.168.1.32,41315,192.168.1.193,119,6,0,44,1,40,1,22,2,20,4,0,0,0,0,44,40,40,44,10,11,0,0,0,0,70400,64000,2,0,0,0,0,1024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Benign
1556028590625,1556028590625,192.168.1.32,41315,192.168.1.169,5102,6,0,44,1,40,1,22,2,20,1,0,0,0,0,44,40,40,44,0,0,0,0,0,0,352000,320000,2,0,0,0,0,1024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Benign
1556028590625,1556028590625,192.168.1.32,62674,192.168.1.46,51493,6,0,44,1,0,0,2,2,0,1,0,0,0,0,44,44,0,44,0,0,0,0,0,0,352000,0,1,0,0,0,0,1024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Benign
