FLOW_START_MILLISECONDS,FLOW_END_MILLISECONDS,IPV4_SRC_ADDR,L4_SRC_PORT,IPV4_DST_ADDR,L4_DST_PORT,PROTOCOL,L7_PROTO,IN_BYTES,IN_PKTS,OUT_BYTES,OUT_PKTS,TCP_FLAGS,CLIENT_TCP_FLAGS,SERVER_TCP_FLAGS,FLOW_DURATION_MILLISECONDS,DURATION_IN,DURATION_OUT,MIN_TTL,MAX_TTL,LONGEST_FLOW_PKT,SHORTEST_FLOW_PKT,MIN_IP_PKT_LEN,MAX_IP_PKT_LEN,SRC_TO_DST_SECOND_BYTES,DST_TO_SRC_SECOND_BYTES,RETRANSMITTED_IN_BYTES,RETRANSMITTED_IN_PKTS,RETRANSMITTED_OUT_BYTES,RETRANSMITTED_OUT_PKTS,SRC_TO_DST_AVG_THROUGHPUT,DST_TO_SRC_AVG_THROUGHPUT,NUM_PKTS_UP_TO_128_BYTES,NUM_PKTS_128_TO_256_BYTES,NUM_PKTS_256_TO_512_BYTES,NUM_PKTS_512_TO_1024_BYTES,NUM_PKTS_1024_TO_1514_BYTES,TCP_WIN_MAX_IN,TCP_WIN_MAX_OUT,ICMP_TYPE,ICMP_IPV4_TYPE,DNS_QUERY_ID,DNS_QUERY_TYPE,DNS_TTL_ANSWER,FTP_COMMAND_RET_CODE,SRC_TO_DST_IAT_MIN,SRC_TO_DST_IAT_MAX,SRC_TO_DST_IAT_AVG,SRC_TO_DST_IAT_STDDEV,DST_TO_SRC_IAT_MIN,DST_TO_SRC_IAT_MAX,DST_TO_SRC_IAT_AVG,DST_TO_SRC_IAT_STDDEV,Label,Attack
1424242193040,1424242193043,59.166.0.2,4894,149.171.126.3,53,17,5.0,146,2,178,2,0,0,0,2,0,0,31,31,89,73,73,89,89.0,73.0,0,0,0,0,389333,474666,4,0,0,0,0,0,0,0,0,46779,1,60,0,0,0,0,0,0,0,0,0,0,Benign
1424242192744,1424242193079,59.166.0.4,52671,149.171.126.6,31992,6,11.0,4704,28,2976,28,27,27,27,335,334,334,31,32,984,52,52,984,8.883582089552238,14.04179104477612,1988,7,1068,6,112000,70857,34,18,2,2,0,14480,14480,50176,196,0,0,0,0,0,91,12,19,0,90,12,19,0,Benign
1424242190649,1424242193109,59.166.0.0,47290,149.171.126.9,6881,6,37.0,13662,238,548216,438,27,27,27,2460,2459,2459,31,32,1500,52,52,1500,222.8520325203252,5.553658536585366,1735,21,272908,196,44411,1782091,288,0,4,32,352,65160,34752,50944,199,0,0,0,0,0,1843,10,119,0,1843,5,88,0,Benign
1424242193145,1424242193146,59.166.0.8,43310,149.171.126.7,53,17,5.0,146,2,178,2,0,0,0,1,0,0,31,31,89,73,73,89,178.0,146.0,0,0,0,0,584000,712000,4,0,0,0,0,0,0,0,0,3211,1,60,0,0,0,0,0,0,0,0,0,0,Benign
1424242193239,1424242193241,59.166.0.1,45870,149.171.126.1,53,17,5.0,130,2,162,2,0,0,0,1,0,0,31,31,81,65,65,81,162.0,130.0,0,0,0,0,520000,648000,4,0,0,0,0,0,0,0,0,5771,1,60,0,0,0,0,0,0,0,0,0,0,Benign
1424242193246,1424242193250,59.166.0.1,10731,149.171.126.5,48138,6,0.0,320,6,1942,8,27,19,27,3,3,2,31,32,811,52,52,811,647.3333333333334,106.66666666666669,56,1,811,1,640000,3884000,12,0,0,2,0,7240,5792,14336,56,0,0,0,0,0,2,0,0,0,2,0,0,0,Benign
1424242193255,1424242193261,59.166.0.1,41384,149.171.126.5,30872,6,0.0,424,8,8824,12,27,19,27,6,5,5,31,32,1500,52,52,1500,1470.6666666666667,70.66666666666667,56,1,4252,3,484571,10084571,14,0,0,0,6,10136,5792,14336,56,0,0,0,0,0,4,0,1,0,1,0,0,0,Benign
1424242193263,1424242193271,59.166.0.1,12693,149.171.126.5,54121,6,0.0,8928,14,320,6,27,27,19,8,8,7,31,32,1500,52,52,1500,40.0,1116.0,4308,4,0,0,7936000,284444,14,0,0,0,6,5792,10136,54272,212,0,0,0,0,0,3,0,0,0,6,1,2,0,Benign
1424242193242,1424242193273,59.166.0.1,9788,149.171.126.5,21,6,37.0,2487,45,3500,50,25,25,25,30,30,30,31,32,106,52,52,106,116.66666666666669,82.9,563,9,1126,13,641806,903225,106,0,0,0,0,26064,20272,13056,51,0,0,0,0,0,7,0,1,0,6,0,1,0,Benign
1424242192557,1424242193312,175.45.176.0,43944,149.171.126.16,8088,6,0.0,160,4,80,2,18,18,18,754,754,0,254,255,40,40,40,40,0.1061007957559681,0.2122015915119363,40,1,0,0,1695,847,6,0,0,0,0,12752,53202,10240,40,0,0,0,0,0,754,251,355,0,0,0,0,1,Fuzzers
